antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'CuO_0'}),frozenset({'Na2O_0'}),0.71,0.8,0.57,0.8,1.01,0.0,1.02
frozenset({'PbO_1'}),frozenset({'BaO_0'}),0.41,0.78,0.33,0.8,1.03,0.01,1.12
frozenset({'Al2O3_1'}),frozenset({'Na2O_0'}),0.41,0.8,0.33,0.8,1.01,0.0,1.02
frozenset({'SO2_0'}),frozenset({'CuO_0'}),0.9,0.71,0.71,0.8,1.11,0.07,1.4
frozenset({'SiO2_2'}),frozenset({'SrO_0'}),0.39,0.51,0.31,0.79,1.55,0.11,2.33
frozenset({'SiO2_2'}),frozenset({'CaO_0'}),0.39,0.53,0.31,0.79,1.49,0.1,2.23
frozenset({'SiO2_2'}),frozenset({'CuO_0'}),0.39,0.71,0.31,0.79,1.11,0.03,1.36
frozenset({'P2O5_1'}),frozenset({'CaO_1'}),0.29,0.33,0.22,0.79,2.41,0.13,3.14
frozenset({'SiO2_1'}),frozenset({'PbO_1'}),0.29,0.41,0.22,0.79,1.93,0.11,2.76
frozenset({'PbO_0'}),frozenset({'Fe2O3_0'}),0.47,0.71,0.37,0.78,1.1,0.03,1.31
frozenset({'P2O5_0'}),frozenset({'Fe2O3_0'}),0.65,0.71,0.51,0.78,1.09,0.04,1.31
frozenset({'SnO2_0'}),frozenset({'Fe2O3_0'}),0.9,0.71,0.69,0.77,1.08,0.05,1.26
frozenset({'Al2O3_0'}),frozenset({'MgO_0'}),0.53,0.51,0.41,0.77,1.51,0.14,2.12
frozenset({'Fe2O3_1'}),frozenset({'Al2O3_1'}),0.27,0.41,0.2,0.77,1.88,0.1,2.56
frozenset({'Al2O3_0'}),frozenset({'P2O5_0'}),0.53,0.65,0.41,0.77,1.18,0.06,1.5
frozenset({'Al2O3_0'}),frozenset({'K2O_0'}),0.53,0.61,0.41,0.77,1.26,0.08,1.68
frozenset({'K2O_0'}),frozenset({'Fe2O3_0'}),0.61,0.71,0.47,0.77,1.07,0.03,1.22
frozenset({'K2O_1'}),frozenset({'PbO_0'}),0.35,0.47,0.27,0.76,1.63,0.1,2.26
frozenset({'SrO_0'}),frozenset({'P2O5_0'}),0.51,0.65,0.39,0.76,1.16,0.05,1.45
frozenset({'P2O5_0'}),frozenset({'CaO_0'}),0.65,0.53,0.49,0.75,1.41,0.14,1.88
frozenset({'Al2O3_1'}),frozenset({'CuO_0'}),0.41,0.71,0.31,0.75,1.05,0.01,1.14
frozenset({'P2O5_0'}),frozenset({'CuO_0'}),0.65,0.71,0.49,0.75,1.05,0.02,1.14
frozenset({'SiO2_0'}),frozenset({'SrO_1'}),0.33,0.41,0.24,0.75,1.84,0.11,2.37
frozenset({'PbO_1'}),frozenset({'K2O_0'}),0.41,0.61,0.31,0.75,1.22,0.06,1.55
frozenset({'SrO_1'}),frozenset({'K2O_0'}),0.41,0.61,0.31,0.75,1.22,0.06,1.55
frozenset({'Al2O3_1'}),frozenset({'MgO_1'}),0.41,0.47,0.31,0.75,1.6,0.11,2.12
frozenset({'MgO_1'}),frozenset({'CuO_0'}),0.47,0.71,0.35,0.74,1.03,0.01,1.1
frozenset({'PbO_0'}),frozenset({'CaO_0'}),0.47,0.53,0.35,0.74,1.39,0.1,1.8
frozenset({'PbO_0'}),frozenset({'SiO2_2'}),0.47,0.39,0.35,0.74,1.91,0.16,2.35
frozenset({'SiO2_2'}),frozenset({'Fe2O3_0'}),0.39,0.71,0.29,0.74,1.03,0.01,1.09
frozenset({'K2O_0'}),frozenset({'CuO_0'}),0.61,0.71,0.45,0.73,1.03,0.01,1.07
frozenset({'MgO_0'}),frozenset({'K2O_0'}),0.51,0.61,0.37,0.72,1.18,0.05,1.38
frozenset({'MgO_0'}),frozenset({'P2O5_0'}),0.51,0.65,0.37,0.72,1.1,0.03,1.24
frozenset({'Na2O_0'}),frozenset({'CuO_0'}),0.8,0.71,0.57,0.72,1.01,0.0,1.01
frozenset({'CaO_2'}),frozenset({'Fe2O3_1'}),0.14,0.27,0.1,0.71,2.69,0.06,2.57
frozenset({'CaO_2'}),frozenset({'PbO_1'}),0.14,0.41,0.1,0.71,1.75,0.04,2.07
frozenset({'CaO_2'}),frozenset({'Al2O3_1'}),0.14,0.41,0.1,0.71,1.75,0.04,2.07
frozenset({'Fe2O3_0'}),frozenset({'P2O5_0'}),0.71,0.65,0.51,0.71,1.09,0.04,1.21
frozenset({'Na2O_1'}),frozenset({'MgO_0'}),0.14,0.51,0.1,0.71,1.4,0.03,1.71
frozenset({'CaO_2'}),frozenset({'K2O_0'}),0.14,0.61,0.1,0.71,1.17,0.01,1.36
frozenset({'CaO_2'}),frozenset({'MgO_1'}),0.14,0.47,0.1,0.71,1.52,0.03,1.86
frozenset({'Na2O_1'}),frozenset({'K2O_0'}),0.14,0.61,0.1,0.71,1.17,0.01,1.36
frozenset({'CaO_0'}),frozenset({'K2O_0'}),0.53,0.61,0.37,0.69,1.13,0.04,1.26
frozenset({'CaO_0'}),frozenset({'Al2O3_0'}),0.53,0.53,0.37,0.69,1.3,0.09,1.53
frozenset({'Al2O3_0'}),frozenset({'CaO_0'}),0.53,0.53,0.37,0.69,1.3,0.09,1.53
frozenset({'Fe2O3_1'}),frozenset({'PbO_1'}),0.27,0.41,0.18,0.69,1.7,0.08,1.92
frozenset({'CaO_1'}),frozenset({'P2O5_1'}),0.33,0.29,0.22,0.69,2.41,0.13,2.29
frozenset({'SiO2_0'}),frozenset({'Al2O3_0'}),0.33,0.53,0.22,0.69,1.3,0.05,1.5
frozenset({'CuO_0'}),frozenset({'P2O5_0'}),0.71,0.65,0.49,0.69,1.05,0.02,1.1
frozenset({'BaO_0'}),frozenset({'P2O5_0'}),0.78,0.65,0.53,0.68,1.05,0.02,1.1
frozenset({'K2O_0'}),frozenset({'P2O5_0'}),0.61,0.65,0.41,0.67,1.02,0.01,1.04
frozenset({'K2O_0'}),frozenset({'Al2O3_0'}),0.61,0.53,0.41,0.67,1.26,0.08,1.41
frozenset({'SO2_0'}),frozenset({'P2O5_0'}),0.9,0.65,0.59,0.66,1.01,0.01,1.02
frozenset({'Fe2O3_0'}),frozenset({'Al2O3_0'}),0.71,0.53,0.47,0.66,1.24,0.09,1.37
frozenset({'Fe2O3_0'}),frozenset({'K2O_0'}),0.71,0.61,0.47,0.66,1.07,0.03,1.13
frozenset({'CaO_0'}),frozenset({'PbO_0'}),0.53,0.47,0.35,0.65,1.39,0.1,1.53
frozenset({'MgO_1'}),frozenset({'Al2O3_1'}),0.47,0.41,0.31,0.65,1.6,0.11,1.7
frozenset({'PbO_1'}),frozenset({'MgO_0'}),0.41,0.51,0.27,0.65,1.27,0.06,1.4
frozenset({'K2O_1'}),frozenset({'SrO_0'}),0.35,0.51,0.22,0.65,1.27,0.05,1.39
frozenset({'SiO2_1'}),frozenset({'MgO_0'}),0.29,0.51,0.18,0.64,1.26,0.04,1.37
frozenset({'SrO_0'}),frozenset({'CaO_0'}),0.51,0.53,0.33,0.64,1.21,0.06,1.3
frozenset({'MgO_0'}),frozenset({'CaO_0'}),0.51,0.53,0.33,0.64,1.21,0.06,1.3
frozenset({'CuO_1'}),frozenset({'PbO_0'}),0.22,0.47,0.14,0.64,1.36,0.04,1.46
frozenset({'SnO2_0'}),frozenset({'K2O_0'}),0.9,0.61,0.57,0.64,1.04,0.02,1.07
frozenset({'SiO2_2'}),frozenset({'MgO_1'}),0.39,0.47,0.24,0.63,1.35,0.06,1.44
frozenset({'CuO_0'}),frozenset({'K2O_0'}),0.71,0.61,0.45,0.63,1.03,0.01,1.04
frozenset({'Fe2O3_0'}),frozenset({'CaO_0'}),0.71,0.53,0.45,0.63,1.18,0.07,1.26
frozenset({'P2O5_0'}),frozenset({'Al2O3_0'}),0.65,0.53,0.41,0.63,1.18,0.06,1.25
frozenset({'P2O5_0'}),frozenset({'K2O_0'}),0.65,0.61,0.41,0.63,1.02,0.01,1.03
frozenset({'CaO_0'}),frozenset({'SrO_0'}),0.53,0.51,0.33,0.62,1.21,0.06,1.27
frozenset({'CaO_0'}),frozenset({'MgO_0'}),0.53,0.51,0.33,0.62,1.21,0.06,1.27
frozenset({'SO2_0'}),frozenset({'K2O_0'}),0.9,0.61,0.55,0.61,1.0,0.0,1.0
frozenset({'PbO_0'}),frozenset({'SrO_0'}),0.47,0.51,0.29,0.61,1.19,0.05,1.25
frozenset({'K2O_0'}),frozenset({'CaO_0'}),0.61,0.53,0.37,0.6,1.13,0.04,1.17
frozenset({'K2O_0'}),frozenset({'MgO_0'}),0.61,0.51,0.37,0.6,1.18,0.05,1.22
frozenset({'SrO_0'}),frozenset({'SiO2_2'}),0.51,0.39,0.31,0.6,1.55,0.11,1.53
frozenset({'SrO_1'}),frozenset({'Al2O3_0'}),0.41,0.53,0.24,0.6,1.13,0.03,1.17
frozenset({'SrO_1'}),frozenset({'SiO2_0'}),0.41,0.33,0.24,0.6,1.84,0.11,1.68
frozenset({'P2O5_0'}),frozenset({'SrO_0'}),0.65,0.51,0.39,0.59,1.16,0.05,1.21
frozenset({'P2O5_0'}),frozenset({'PbO_0'}),0.65,0.47,0.39,0.59,1.26,0.08,1.31
frozenset({'SnO2_0'}),frozenset({'Al2O3_0'}),0.9,0.53,0.53,0.59,1.11,0.05,1.15
frozenset({'K2O_1'}),frozenset({'SiO2_2'}),0.35,0.39,0.2,0.59,1.52,0.07,1.49
frozenset({'BaO_0'}),frozenset({'SrO_0'}),0.78,0.51,0.45,0.58,1.13,0.05,1.16
frozenset({'CaO_0'}),frozenset({'SiO2_2'}),0.53,0.39,0.31,0.58,1.49,0.1,1.45
frozenset({'Fe2O3_0'}),frozenset({'MgO_0'}),0.71,0.51,0.41,0.57,1.12,0.04,1.14
frozenset({'P2O5_1'}),frozenset({'SiO2_0'}),0.29,0.33,0.16,0.57,1.75,0.07,1.57
frozenset({'SiO2_1'}),frozenset({'Al2O3_1'}),0.29,0.41,0.16,0.57,1.4,0.05,1.38
frozenset({'P2O5_1'}),frozenset({'Al2O3_1'}),0.29,0.41,0.16,0.57,1.4,0.05,1.38
frozenset({'CuO_0'}),frozenset({'SrO_0'}),0.71,0.51,0.41,0.57,1.12,0.04,1.14
frozenset({'SiO2_1'}),frozenset({'SrO_0'}),0.29,0.51,0.16,0.57,1.12,0.02,1.14
frozenset({'P2O5_1'}),frozenset({'PbO_1'}),0.29,0.41,0.16,0.57,1.4,0.05,1.38
frozenset({'SnO2_0'}),frozenset({'CaO_0'}),0.9,0.53,0.51,0.57,1.07,0.03,1.09
frozenset({'PbO_0'}),frozenset({'MgO_1'}),0.47,0.47,0.27,0.57,1.2,0.04,1.22
frozenset({'MgO_1'}),frozenset({'PbO_0'}),0.47,0.47,0.27,0.57,1.2,0.04,1.22
frozenset({'PbO_0'}),frozenset({'K2O_1'}),0.47,0.35,0.27,0.57,1.63,0.1,1.5
frozenset({'SiO2_0'}),frozenset({'MgO_0'}),0.33,0.51,0.18,0.56,1.1,0.02,1.12
frozenset({'P2O5_0'}),frozenset({'SiO2_2'}),0.65,0.39,0.37,0.56,1.45,0.11,1.4
frozenset({'P2O5_0'}),frozenset({'MgO_0'}),0.65,0.51,0.37,0.56,1.1,0.03,1.12
frozenset({'SrO_0'}),frozenset({'PbO_0'}),0.51,0.47,0.29,0.56,1.19,0.05,1.21
frozenset({'BaO_0'}),frozenset({'MgO_1'}),0.78,0.47,0.43,0.55,1.18,0.06,1.19
frozenset({'PbO_1'}),frozenset({'SiO2_1'}),0.41,0.29,0.22,0.55,1.92,0.11,1.59
frozenset({'CuO_1'}),frozenset({'MgO_1'}),0.22,0.47,0.12,0.55,1.16,0.02,1.17
frozenset({'CuO_1'}),frozenset({'Al2O3_0'}),0.22,0.53,0.12,0.55,1.03,0.0,1.03
frozenset({'SnO2_0'}),frozenset({'MgO_0'}),0.9,0.51,0.49,0.55,1.07,0.03,1.08
frozenset({'CuO_1'}),frozenset({'P2O5_1'}),0.22,0.29,0.12,0.55,1.91,0.06,1.57
frozenset({'SO2_0'}),frozenset({'SrO_0'}),0.9,0.51,0.49,0.55,1.07,0.03,1.08
frozenset({'CuO_1'}),frozenset({'SrO_1'}),0.22,0.41,0.12,0.55,1.34,0.03,1.3
frozenset({'CuO_1'}),frozenset({'K2O_1'}),0.22,0.35,0.12,0.55,1.57,0.04,1.44
frozenset({'Fe2O3_1'}),frozenset({'MgO_1'}),0.27,0.47,0.14,0.54,1.15,0.02,1.15
frozenset({'Fe2O3_1'}),frozenset({'SrO_0'}),0.27,0.51,0.14,0.54,1.06,0.01,1.06
frozenset({'Na2O_0'}),frozenset({'Al2O3_0'}),0.8,0.53,0.43,0.54,1.01,0.01,1.02
frozenset({'K2O_1'}),frozenset({'MgO_1'}),0.35,0.47,0.18,0.53,1.13,0.02,1.13
frozenset({'SiO2_2'}),frozenset({'K2O_1'}),0.39,0.35,0.2,0.53,1.52,0.07,1.38
frozenset({'SnO2_0'}),frozenset({'SrO_0'}),0.9,0.51,0.47,0.52,1.02,0.01,1.03
frozenset({'SO2_0'}),frozenset({'MgO_1'}),0.9,0.47,0.47,0.52,1.11,0.05,1.11
frozenset({'MgO_1'}),frozenset({'SrO_0'}),0.47,0.51,0.24,0.52,1.02,0.01,1.02
frozenset({'MgO_1'}),frozenset({'SiO2_2'}),0.47,0.39,0.24,0.52,1.35,0.06,1.28
frozenset({'MgO_0'}),frozenset({'SrO_0'}),0.51,0.51,0.27,0.52,1.02,0.0,1.02
frozenset({'SrO_0'}),frozenset({'MgO_0'}),0.51,0.51,0.27,0.52,1.02,0.0,1.02
frozenset({'MgO_0'}),frozenset({'PbO_1'}),0.51,0.41,0.27,0.52,1.27,0.06,1.23
frozenset({'Fe2O3_0'}),frozenset({'PbO_0'}),0.71,0.47,0.37,0.51,1.1,0.03,1.09
frozenset({'Na2O_0'}),frozenset({'MgO_0'}),0.8,0.51,0.41,0.51,1.01,0.0,1.01
frozenset({'K2O_0'}),frozenset({'PbO_1'}),0.61,0.41,0.31,0.5,1.22,0.06,1.18
frozenset({'P2O5_1'}),frozenset({'K2O_1'}),0.29,0.35,0.14,0.5,1.44,0.04,1.31
frozenset({'K2O_0'}),frozenset({'SrO_1'}),0.61,0.41,0.31,0.5,1.22,0.06,1.18
frozenset({'P2O5_1'}),frozenset({'SrO_1'}),0.29,0.41,0.14,0.5,1.22,0.03,1.18
frozenset({'SrO_1'}),frozenset({'PbO_1'}),0.41,0.41,0.2,0.5,1.22,0.04,1.18
frozenset({'SiO2_0'}),frozenset({'P2O5_1'}),0.33,0.29,0.16,0.5,1.75,0.07,1.43
frozenset({'CaO_1'}),frozenset({'K2O_1'}),0.33,0.35,0.16,0.5,1.44,0.05,1.31
frozenset({'CaO_1'}),frozenset({'MgO_1'}),0.33,0.47,0.16,0.5,1.07,0.01,1.06
frozenset({'CaO_1'}),frozenset({'PbO_1'}),0.33,0.41,0.16,0.5,1.22,0.03,1.18
frozenset({'Al2O3_1'}),frozenset({'PbO_1'}),0.41,0.41,0.2,0.5,1.22,0.04,1.18
frozenset({'PbO_1'}),frozenset({'Al2O3_1'}),0.41,0.41,0.2,0.5,1.22,0.04,1.18
frozenset({'PbO_1'}),frozenset({'SrO_1'}),0.41,0.41,0.2,0.5,1.22,0.04,1.18
frozenset({'Al2O3_1'}),frozenset({'Fe2O3_1'}),0.41,0.27,0.2,0.5,1.88,0.1,1.47
frozenset({'BaO_0'}),frozenset({'Al2O3_1'}),0.78,0.41,0.39,0.5,1.22,0.07,1.18
frozenset({'CuO_0'}),frozenset({'PbO_1'}),0.71,0.41,0.35,0.49,1.19,0.06,1.15
frozenset({'CuO_0'}),frozenset({'MgO_1'}),0.71,0.47,0.35,0.49,1.03,0.01,1.03
frozenset({'SrO_0'}),frozenset({'MgO_1'}),0.51,0.47,0.24,0.48,1.02,0.01,1.02
frozenset({'SnO2_0'}),frozenset({'PbO_0'}),0.9,0.47,0.43,0.48,1.02,0.01,1.02
frozenset({'BaO_0'}),frozenset({'SiO2_2'}),0.78,0.39,0.37,0.47,1.22,0.07,1.16
frozenset({'K2O_1'}),frozenset({'CaO_1'}),0.35,0.33,0.16,0.47,1.44,0.05,1.27
frozenset({'K2O_1'}),frozenset({'Al2O3_1'}),0.35,0.41,0.16,0.47,1.15,0.02,1.12
frozenset({'Na2O_0'}),frozenset({'SrO_1'}),0.8,0.41,0.37,0.46,1.13,0.04,1.1
frozenset({'Fe2O3_1'}),frozenset({'SiO2_1'}),0.27,0.29,0.12,0.46,1.62,0.05,1.33
frozenset({'Al2O3_0'}),frozenset({'SrO_1'}),0.53,0.41,0.24,0.46,1.13,0.03,1.1
frozenset({'Fe2O3_1'}),frozenset({'SrO_1'}),0.27,0.41,0.12,0.46,1.13,0.01,1.1
frozenset({'CuO_1'}),frozenset({'Al2O3_1'}),0.22,0.41,0.1,0.45,1.11,0.01,1.09
frozenset({'SO2_0'}),frozenset({'Al2O3_1'}),0.9,0.41,0.41,0.45,1.11,0.04,1.09
frozenset({'CuO_1'}),frozenset({'CaO_1'}),0.22,0.33,0.1,0.45,1.39,0.03,1.23
frozenset({'PbO_1'}),frozenset({'Fe2O3_1'}),0.41,0.27,0.18,0.45,1.7,0.08,1.34
frozenset({'SrO_0'}),frozenset({'K2O_1'}),0.51,0.35,0.22,0.44,1.27,0.05,1.17
frozenset({'CaO_1'}),frozenset({'Al2O3_1'}),0.33,0.41,0.14,0.44,1.07,0.01,1.05
frozenset({'SiO2_0'}),frozenset({'PbO_1'}),0.33,0.41,0.14,0.44,1.07,0.01,1.05
frozenset({'SiO2_0'}),frozenset({'CaO_1'}),0.33,0.33,0.14,0.44,1.34,0.04,1.2
frozenset({'CaO_1'}),frozenset({'SiO2_0'}),0.33,0.33,0.14,0.44,1.34,0.04,1.2
